|position|name|adp|team
125|WR|Zay Jones|122.0|BUF
72|TE|Zach Ertz|72.8|PHI
86|WR|Willie Snead|83.8|NO
173|PK|Wil Lutz|161.0|NO
151|RB|Wendell Smallwood|146.1|PHI
176|QB|Tyrod Taylor|162.4|BUF
97|WR|Tyrell Williams|95.0|LAC
46|WR|Tyreek Hill|45.5|KC
168|WR|Tyler Lockett|156.1|SEA
71|TE|Tyler Eifert|70.4|CIN
33|RB|Ty Montgomery|32.6|GB
39|TE|Travis Kelce|38.9|KC
29|QB|Tom Brady|29.6|NE
19|RB|Todd Gurley|19.4|LAR
98|RB|Thomas Rawls|95.7|SEA
82|RB|Theo Riddick|83.0|DET
73|RB|Tevin Coleman|73.2|ATL
31|WR|Terrelle Pryor|30.2|WAS
89|RB|Terrance West|86.8|BAL
121|WR|Ted Ginn Jr|116.9|NO
158|WR|Taylor Gabriel|151.4|ATL
28|WR|T.Y. Hilton|28.8|IND
161|WR|Sterling Shepard|152.3|NYG
154|PK|Stephen Gostkowski|149.7|NE
56|WR|Stefon Diggs|54.8|MIN
183|PK|Sebastian Janikowski|172.7|OAK
113|DEF|Seattle Defense|110.3|SEA
70|WR|Sammy Watkins|70.0|LAR
131|RB|Samaje Perine|126.8|WAS
64|QB|Russell Wilson|64.3|SEA
149|WR|Robby Anderson|143.4|NYJ
68|RB|Rob Kelley|67.0|WAS
17|TE|Rob Gronkowski|18.1|NE
118|WR|Rishard Matthews|116.0|TEN
116|RB|Rex Burkhead|113.4|NE
95|WR|Randall Cobb|92.2|GB
157|DEF|Pittsburgh Defense|150.8|PIT
67|WR|Pierre Garcon|66.4|SF
112|QB|Philip Rivers|108.7|LAC
175|DEF|Philadelphia Defense|161.6|PHI
83|RB|Paul Perkins|83.4|NYG
5|WR|Odell Beckham Jr|6.4|NYG
162|TE|O.J. Howard|152.7|TB
133|DEF|New England Defense|128.0|NE
145|DEF|NY Giants Defense|138.5|NYG
178|WR|Mohamed Sanu|162.9|ATL
144|DEF|Minnesota Defense|138.1|MIN
129|WR|Mike Wallace|125.9|BAL
66|RB|Mike Gillislee|65.3|NE
8|WR|Mike Evans|7.9|TB
12|WR|Michael Thomas|13.3|NO
44|WR|Michael Crabtree|43.7|OAK
10|RB|Melvin Gordon|10.1|LAC
120|QB|Matthew Stafford|116.5|DET
